[p_N]=Pa F theta_1 theta_2 [q_t]=J/s [q_c]=J/s [q_p]=J/s [q_0]=J/s Y
1.000000e-15 2.226244e+07 0.000000e+00 3.396987e-12 2.827330e+05 2.827330e+06 8.500000e-17 3.110063e+06 1.310717e+20
1.000000e-06 2.226244e+16 0.000000e+00 3.385486e-03 2.827330e+14 2.817758e+15 8.500000e-08 3.100491e+15 1.310717e+20
2.000000e-06 4.452488e+16 0.000000e+00 6.748127e-03 5.654660e+14 5.616501e+15 1.700000e-07 6.181967e+15 1.310717e+20
3.000000e-06 6.678732e+16 0.000000e+00 1.008815e-02 8.481989e+14 8.396422e+15 2.550000e-07 9.244621e+15 1.310717e+20
4.000000e-06 8.904976e+16 0.000000e+00 1.340579e-02 1.130932e+15 1.115771e+16 3.400000e-07 1.228864e+16 1.310717e+20
5.000000e-06 1.113122e+17 0.000000e+00 1.670126e-02 1.413665e+15 1.390055e+16 4.250000e-07 1.531421e+16 1.310717e+20
6.000000e-06 1.335746e+17 0.000000e+00 1.997479e-02 1.696398e+15 1.662513e+16 5.100000e-07 1.832152e+16 1.310717e+20
7.000000e-06 1.558371e+17 0.000000e+00 2.322660e-02 1.979131e+15 1.933162e+16 5.950000e-07 2.131075e+16 1.310717e+20
8.000000e-06 1.780995e+17 0.000000e+00 2.645690e-02 2.261864e+15 2.202022e+16 6.800000e-07 2.428208e+16 1.310717e+20
9.000000e-06 2.003620e+17 0.000000e+00 2.966591e-02 2.544597e+15 2.469109e+16 7.650000e-07 2.723569e+16 1.310717e+20
1.000000e-05 2.226244e+17 0.000000e+00 3.285383e-02 2.827330e+15 2.734441e+16 8.500000e-07 3.017174e+16 1.310717e+20
1.100000e-05 2.448868e+17 0.000000e+00 3.602087e-02 3.110063e+15 2.998036e+16 9.350000e-07 3.309042e+16 1.310717e+20
1.200000e-05 2.671493e+17 0.000000e+00 3.916723e-02 3.392796e+15 3.259909e+16 1.020000e-06 3.599189e+16 1.310717e+20
1.300000e-05 2.894117e+17 0.000000e+00 4.229313e-02 3.675529e+15 3.520079e+16 1.105000e-06 3.887632e+16 1.310717e+20
1.400000e-05 3.116741e+17 0.000000e+00 4.539875e-02 3.958262e+15 3.778562e+16 1.190000e-06 4.174388e+16 1.310717e+20
1.500000e-05 3.339366e+17 0.000000e+00 4.848429e-02 4.240995e+15 4.035373e+16 1.275000e-06 4.459473e+16 1.310717e+20
1.600000e-05 3.561990e+17 0.000000e+00 5.154995e-02 4.523728e+15 4.290530e+16 1.360000e-06 4.742902e+16 1.310717e+20
1.700000e-05 3.784615e+17 0.000000e+00 5.459592e-02 4.806461e+15 4.544047e+16 1.445000e-06 5.024694e+16 1.310717e+20
1.800000e-05 4.007239e+17 0.000000e+00 5.762239e-02 5.089194e+15 4.795942e+16 1.530000e-06 5.304861e+16 1.310717e+20
1.900000e-05 4.229863e+17 0.000000e+00 6.062955e-02 5.371927e+15 5.046229e+16 1.615000e-06 5.583422e+16 1.310717e+20
2.000000e-05 4.452488e+17 0.000000e+00 6.361757e-02 5.654660e+15 5.294924e+16 1.700000e-06 5.860390e+16 1.310717e+20
2.100000e-05 4.675112e+17 0.000000e+00 6.658665e-02 5.937393e+15 5.542042e+16 1.785000e-06 6.135781e+16 1.310717e+20
2.200000e-05 4.897737e+17 0.000000e+00 6.953695e-02 6.220126e+15 5.787597e+16 1.870000e-06 6.409610e+16 1.310717e+20
2.300000e-05 5.120361e+17 0.000000e+00 7.246866e-02 6.502859e+15 6.031605e+16 1.955000e-06 6.681891e+16 1.310717e+20
2.400000e-05 5.342985e+17 0.000000e+00 7.538196e-02 6.785591e+15 6.274080e+16 2.040000e-06 6.952639e+16 1.310717e+20
2.500000e-05 5.565610e+17 0.000000e+00 7.827702e-02 7.068324e+15 6.515037e+16 2.125000e-06 7.221870e+16 1.310717e+20
2.600000e-05 5.788234e+17 0.000000e+00 8.115400e-02 7.351057e+15 6.754490e+16 2.210000e-06 7.489596e+16 1.310717e+20
2.700000e-05 6.010859e+17 0.000000e+00 8.401307e-02 7.633790e+15 6.992452e+16 2.295000e-06 7.755831e+16 1.310717e+20
2.800000e-05 6.233483e+17 0.000000e+00 8.685441e-02 7.916523e+15 7.228938e+16 2.380000e-06 8.020591e+16 1.310717e+20
2.900000e-05 6.456107e+17 0.000000e+00 8.967818e-02 8.199256e+15 7.463962e+16 2.465000e-06 8.283888e+16 1.310717e+20
3.000000e-05 6.678732e+17 0.000000e+00 9.248454e-02 8.481989e+15 7.697537e+16 2.550000e-06 8.545735e+16 1.310717e+20
3.100000e-05 6.901356e+17 0.000000e+00 9.527364e-02 8.764722e+15 7.929675e+16 2.635000e-06 8.806148e+16 1.310717e+20
3.200000e-05 7.123981e+17 0.000000e+00 9.804566e-02 9.047455e+15 8.160392e+16 2.720000e-06 9.065137e+16 1.310717e+20
3.300000e-05 7.346605e+17 0.000000e+00 1.008007e-01 9.330188e+15 8.389698e+16 2.805000e-06 9.322717e+16 1.310717e+20
3.400000e-05 7.569229e+17 0.000000e+00 1.035390e-01 9.612921e+15 8.617609e+16 2.890000e-06 9.578901e+16 1.310717e+20
3.500000e-05 7.791854e+17 0.000000e+00 1.062607e-01 9.895654e+15 8.844135e+16 2.975000e-06 9.833700e+16 1.310717e+20
3.600000e-05 8.014478e+17 0.000000e+00 1.089659e-01 1.017839e+16 9.069290e+16 3.060000e-06 1.008713e+17 1.310717e+20
3.700000e-05 8.237103e+17 0.000000e+00 1.116548e-01 1.046112e+16 9.293086e+16 3.145000e-06 1.033920e+17 1.310717e+20
3.800000e-05 8.459727e+17 0.000000e+00 1.143275e-01 1.074385e+16 9.515536e+16 3.230000e-06 1.058992e+17 1.310717e+20
3.900000e-05 8.682351e+17 0.000000e+00 1.169841e-01 1.102659e+16 9.736651e+16 3.315000e-06 1.083931e+17 1.310717e+20
4.000000e-05 8.904976e+17 0.000000e+00 1.196249e-01 1.130932e+16 9.956443e+16 3.400000e-06 1.108737e+17 1.310717e+20
4.100000e-05 9.127600e+17 0.000000e+00 1.222499e-01 1.159205e+16 1.017492e+17 3.485000e-06 1.133413e+17 1.310717e+20
4.200000e-05 9.350224e+17 0.000000e+00 1.248593e-01 1.187479e+16 1.039211e+17 3.570000e-06 1.157959e+17 1.310717e+20
4.300000e-05 9.572849e+17 0.000000e+00 1.274533e-01 1.215752e+16 1.060800e+17 3.655000e-06 1.182375e+17 1.310717e+20
4.400000e-05 9.795473e+17 0.000000e+00 1.300319e-01 1.244025e+16 1.082262e+17 3.740000e-06 1.206665e+17 1.310717e+20
4.500000e-05 1.001810e+18 0.000000e+00 1.325953e-01 1.272298e+16 1.103598e+17 3.825000e-06 1.230827e+17 1.310717e+20
4.600000e-05 1.024072e+18 0.000000e+00 1.351436e-01 1.300572e+16 1.124808e+17 3.910000e-06 1.254865e+17 1.310717e+20
4.700000e-05 1.046335e+18 0.000000e+00 1.376771e-01 1.328845e+16 1.145894e+17 3.995000e-06 1.278778e+17 1.310717e+20
4.800000e-05 1.068597e+18 0.000000e+00 1.401957e-01 1.357118e+16 1.166856e+17 4.080000e-06 1.302568e+17 1.310717e+20
4.900000e-05 1.090860e+18 0.000000e+00 1.426997e-01 1.385392e+16 1.187697e+17 4.165000e-06 1.326236e+17 1.310717e+20
5.000000e-05 1.113122e+18 0.000000e+00 1.451891e-01 1.413665e+16 1.208416e+17 4.250000e-06 1.349783e+17 1.310717e+20
5.100000e-05 1.135384e+18 0.000000e+00 1.476641e-01 1.441938e+16 1.229016e+17 4.335000e-06 1.373210e+17 1.310717e+20
5.200000e-05 1.157647e+18 0.000000e+00 1.501248e-01 1.470211e+16 1.249496e+17 4.420000e-06 1.396517e+17 1.310717e+20
5.300000e-05 1.179909e+18 0.000000e+00 1.525713e-01 1.498485e+16 1.269859e+17 4.505000e-06 1.419707e+17 1.310717e+20
5.400000e-05 1.202172e+18 0.000000e+00 1.550038e-01 1.526758e+16 1.290105e+17 4.590000e-06 1.442781e+17 1.310717e+20
5.500000e-05 1.224434e+18 0.000000e+00 1.574224e-01 1.555031e+16 1.310235e+17 4.675000e-06 1.465738e+17 1.310717e+20
5.600000e-05 1.246697e+18 0.000000e+00 1.598271e-01 1.583305e+16 1.330250e+17 4.760000e-06 1.488580e+17 1.310717e+20
5.700000e-05 1.268959e+18 0.000000e+00 1.622182e-01 1.611578e+16 1.350151e+17 4.845000e-06 1.511308e+17 1.310717e+20
5.800000e-05 1.291221e+18 0.000000e+00 1.645957e-01 1.639851e+16 1.369939e+17 4.930000e-06 1.533924e+17 1.310717e+20
5.900000e-05 1.313484e+18 0.000000e+00 1.669598e-01 1.668125e+16 1.389615e+17 5.015000e-06 1.556427e+17 1.310717e+20
6.000000e-05 1.335746e+18 0.000000e+00 1.693105e-01 1.696398e+16 1.409180e+17 5.100000e-06 1.578820e+17 1.310717e+20
6.100000e-05 1.358009e+18 0.000000e+00 1.716479e-01 1.724671e+16 1.428635e+17 5.185000e-06 1.601102e+17 1.310717e+20
6.200000e-05 1.380271e+18 0.000000e+00 1.739723e-01 1.752944e+16 1.447981e+17 5.270000e-06 1.623275e+17 1.310717e+20
6.300000e-05 1.402534e+18 0.000000e+00 1.762837e-01 1.781218e+16 1.467218e+17 5.355000e-06 1.645340e+17 1.310717e+20
6.400000e-05 1.424796e+18 0.000000e+00 1.785821e-01 1.809491e+16 1.486348e+17 5.440000e-06 1.667297e+17 1.310717e+20
6.500000e-05 1.447059e+18 0.000000e+00 1.808678e-01 1.837764e+16 1.505372e+17 5.525000e-06 1.689148e+17 1.310717e+20
6.600000e-05 1.469321e+18 0.000000e+00 1.831408e-01 1.866038e+16 1.524290e+17 5.610000e-06 1.710894e+17 1.310717e+20
6.700000e-05 1.491583e+18 0.000000e+00 1.854012e-01 1.894311e+16 1.543104e+17 5.695000e-06 1.732535e+17 1.310717e+20
6.800000e-05 1.513846e+18 0.000000e+00 1.876491e-01 1.922584e+16 1.561813e+17 5.780000e-06 1.754072e+17 1.310717e+20
6.900000e-05 1.536108e+18 0.000000e+00 1.898846e-01 1.950858e+16 1.580420e+17 5.865000e-06 1.775505e+17 1.310717e+20
7.000000e-05 1.558371e+18 0.000000e+00 1.921079e-01 1.979131e+16 1.598924e+17 5.950000e-06 1.796837e+17 1.310717e+20
7.100000e-05 1.580633e+18 0.000000e+00 1.943190e-01 2.007404e+16 1.617327e+17 6.035000e-06 1.818068e+17 1.310717e+20
7.200000e-05 1.602896e+18 0.000000e+00 1.965181e-01 2.035677e+16 1.635630e+17 6.120000e-06 1.839198e+17 1.310717e+20
7.300000e-05 1.625158e+18 0.000000e+00 1.987051e-01 2.063951e+16 1.653833e+17 6.205000e-06 1.860228e+17 1.310717e+20
7.400000e-05 1.647421e+18 0.000000e+00 2.008803e-01 2.092224e+16 1.671937e+17 6.290000e-06 1.881160e+17 1.310717e+20
7.500000e-05 1.669683e+18 0.000000e+00 2.030437e-01 2.120497e+16 1.689944e+17 6.375000e-06 1.901993e+17 1.310717e+20
7.600000e-05 1.691945e+18 0.000000e+00 2.051955e-01 2.148771e+16 1.707853e+17 6.460000e-06 1.922730e+17 1.310717e+20
7.700000e-05 1.714208e+18 0.000000e+00 2.073356e-01 2.177044e+16 1.725665e+17 6.545000e-06 1.943370e+17 1.310717e+20
7.800000e-05 1.736470e+18 0.000000e+00 2.094643e-01 2.205317e+16 1.743382e+17 6.630000e-06 1.963914e+17 1.310717e+20
7.900000e-05 1.758733e+18 0.000000e+00 2.115815e-01 2.233591e+16 1.761004e+17 6.715000e-06 1.984363e+17 1.310717e+20
8.000000e-05 1.780995e+18 0.000000e+00 2.136875e-01 2.261864e+16 1.778532e+17 6.800000e-06 2.004718e+17 1.310717e+20
8.100000e-05 1.803258e+18 0.000000e+00 2.157822e-01 2.290137e+16 1.795966e+17 6.885000e-06 2.024980e+17 1.310717e+20
8.200000e-05 1.825520e+18 0.000000e+00 2.178658e-01 2.318410e+16 1.813308e+17 6.970000e-06 2.045149e+17 1.310717e+20
8.300000e-05 1.847782e+18 0.000000e+00 2.199383e-01 2.346684e+16 1.830558e+17 7.055000e-06 2.065226e+17 1.310717e+20
8.400000e-05 1.870045e+18 0.000000e+00 2.219999e-01 2.374957e+16 1.847717e+17 7.140000e-06 2.085213e+17 1.310717e+20
8.500000e-05 1.892307e+18 0.000000e+00 2.240506e-01 2.403230e+16 1.864785e+17 7.225000e-06 2.105108e+17 1.310717e+20
8.600000e-05 1.914570e+18 0.000000e+00 2.260906e-01 2.431504e+16 1.881764e+17 7.310000e-06 2.124914e+17 1.310717e+20
8.700000e-05 1.936832e+18 0.000000e+00 2.281198e-01 2.459777e+16 1.898653e+17 7.395000e-06 2.144631e+17 1.310717e+20
8.800000e-05 1.959095e+18 0.000000e+00 2.301384e-01 2.488050e+16 1.915454e+17 7.480000e-06 2.164259e+17 1.310717e+20
8.900000e-05 1.981357e+18 0.000000e+00 2.321465e-01 2.516324e+16 1.932168e+17 7.565000e-06 2.183800e+17 1.310717e+20
9.000000e-05 2.003620e+18 0.000000e+00 2.341442e-01 2.544597e+16 1.948794e+17 7.650000e-06 2.203254e+17 1.310717e+20
9.100000e-05 2.025882e+18 0.000000e+00 2.361315e-01 2.572870e+16 1.965335e+17 7.735000e-06 2.222622e+17 1.310717e+20
9.200000e-05 2.048144e+18 0.000000e+00 2.381085e-01 2.601143e+16 1.981789e+17 7.820000e-06 2.241904e+17 1.310717e+20
9.300000e-05 2.070407e+18 0.000000e+00 2.400752e-01 2.629417e+16 1.998159e+17 7.905000e-06 2.261101e+17 1.310717e+20
9.400000e-05 2.092669e+18 0.000000e+00 2.420319e-01 2.657690e+16 2.014444e+17 7.990000e-06 2.280213e+17 1.310717e+20
9.500000e-05 2.114932e+18 0.000000e+00 2.439785e-01 2.685963e+16 2.030646e+17 8.075000e-06 2.299242e+17 1.310717e+20
9.600000e-05 2.137194e+18 0.000000e+00 2.459151e-01 2.714237e+16 2.046765e+17 8.160000e-06 2.318188e+17 1.310717e+20
9.700000e-05 2.159457e+18 0.000000e+00 2.478419e-01 2.742510e+16 2.062801e+17 8.245000e-06 2.337052e+17 1.310717e+20
9.800000e-05 2.181719e+18 0.000000e+00 2.497588e-01 2.770783e+16 2.078756e+17 8.330000e-06 2.355834e+17 1.310717e+20
9.900000e-05 2.203981e+18 0.000000e+00 2.516660e-01 2.799056e+16 2.094629e+17 8.415000e-06 2.374535e+17 1.310717e+20
1.000000e-04 2.226244e+18 0.000000e+00 2.535635e-01 2.827330e+16 2.110422e+17 8.500000e-06 2.393155e+17 1.310717e+20
1.010000e-04 2.248506e+18 0.000000e+00 2.554514e-01 2.855603e+16 2.126135e+17 8.585000e-06 2.411696e+17 1.310717e+20
1.020000e-04 2.270769e+18 0.000000e+00 2.573298e-01 2.883876e+16 2.141769e+17 8.670000e-06 2.430157e+17 1.310717e+20
1.030000e-04 2.293031e+18 0.000000e+00 2.591987e-01 2.912150e+16 2.157324e+17 8.755000e-06 2.448539e+17 1.310717e+20
1.040000e-04 2.315294e+18 0.000000e+00 2.610582e-01 2.940423e+16 2.172801e+17 8.840000e-06 2.466844e+17 1.310717e+20
1.050000e-04 2.337556e+18 0.000000e+00 2.629085e-01 2.968696e+16 2.188201e+17 8.925000e-06 2.485071e+17 1.310717e+20
1.060000e-04 2.359819e+18 0.000000e+00 2.647494e-01 2.996970e+16 2.203524e+17 9.010000e-06 2.503220e+17 1.310717e+20
1.070000e-04 2.382081e+18 0.000000e+00 2.665813e-01 3.025243e+16 2.218770e+17 9.095000e-06 2.521294e+17 1.310717e+20
1.080000e-04 2.404343e+18 0.000000e+00 2.684040e-01 3.053516e+16 2.233940e+17 9.180000e-06 2.539292e+17 1.310717e+20
1.090000e-04 2.426606e+18 0.000000e+00 2.702176e-01 3.081789e+16 2.249036e+17 9.265000e-06 2.557215e+17 1.310717e+20
1.100000e-04 2.448868e+18 0.000000e+00 2.720223e-01 3.110063e+16 2.264056e+17 9.350000e-06 2.575062e+17 1.310717e+20
1.110000e-04 2.471131e+18 0.000000e+00 2.738181e-01 3.138336e+16 2.279003e+17 9.435000e-06 2.592836e+17 1.310717e+20
1.120000e-04 2.493393e+18 0.000000e+00 2.756051e-01 3.166609e+16 2.293876e+17 9.520000e-06 2.610537e+17 1.310717e+20
1.130000e-04 2.515656e+18 0.000000e+00 2.773833e-01 3.194883e+16 2.308676e+17 9.605000e-06 2.628164e+17 1.310717e+20
1.140000e-04 2.537918e+18 0.000000e+00 2.791528e-01 3.223156e+16 2.323403e+17 9.690000e-06 2.645719e+17 1.310717e+20
1.150000e-04 2.560181e+18 0.000000e+00 2.809136e-01 3.251429e+16 2.338059e+17 9.775000e-06 2.663202e+17 1.310717e+20
1.160000e-04 2.582443e+18 0.000000e+00 2.826658e-01 3.279703e+16 2.352643e+17 9.860000e-06 2.680613e+17 1.310717e+20
1.170000e-04 2.604705e+18 0.000000e+00 2.844096e-01 3.307976e+16 2.367156e+17 9.945000e-06 2.697953e+17 1.310717e+20
1.180000e-04 2.626968e+18 0.000000e+00 2.861449e-01 3.336249e+16 2.381599e+17 1.003000e-05 2.715224e+17 1.310717e+20
1.190000e-04 2.649230e+18 0.000000e+00 2.878717e-01 3.364522e+16 2.395972e+17 1.011500e-05 2.732424e+17 1.310717e+20
1.200000e-04 2.671493e+18 0.000000e+00 2.895903e-01 3.392796e+16 2.410275e+17 1.020000e-05 2.749555e+17 1.310717e+20
1.210000e-04 2.693755e+18 0.000000e+00 2.913005e-01 3.421069e+16 2.424510e+17 1.028500e-05 2.766617e+17 1.310717e+20
1.220000e-04 2.716018e+18 0.000000e+00 2.930026e-01 3.449342e+16 2.438676e+17 1.037000e-05 2.783610e+17 1.310717e+20
1.230000e-04 2.738280e+18 0.000000e+00 2.946965e-01 3.477616e+16 2.452774e+17 1.045500e-05 2.800536e+17 1.310717e+20
1.240000e-04 2.760542e+18 0.000000e+00 2.963823e-01 3.505889e+16 2.466805e+17 1.054000e-05 2.817394e+17 1.310717e+20
1.250000e-04 2.782805e+18 0.000000e+00 2.980601e-01 3.534162e+16 2.480770e+17 1.062500e-05 2.834186e+17 1.310717e+20
1.260000e-04 2.805067e+18 0.000000e+00 2.997298e-01 3.562436e+16 2.494667e+17 1.071000e-05 2.850911e+17 1.310717e+20
1.270000e-04 2.827330e+18 0.000000e+00 3.013917e-01 3.590709e+16 2.508499e+17 1.079500e-05 2.867570e+17 1.310717e+20
1.280000e-04 2.849592e+18 0.000000e+00 3.030457e-01 3.618982e+16 2.522265e+17 1.088000e-05 2.884163e+17 1.310717e+20
1.290000e-04 2.871855e+18 0.000000e+00 3.046919e-01 3.647255e+16 2.535966e+17 1.096500e-05 2.900692e+17 1.310717e+20
1.300000e-04 2.894117e+18 0.000000e+00 3.063303e-01 3.675529e+16 2.549603e+17 1.105000e-05 2.917156e+17 1.310717e+20
1.310000e-04 2.916380e+18 0.000000e+00 3.079610e-01 3.703802e+16 2.563175e+17 1.113500e-05 2.933556e+17 1.310717e+20
1.320000e-04 2.938642e+18 0.000000e+00 3.095841e-01 3.732075e+16 2.576684e+17 1.122000e-05 2.949892e+17 1.310717e+20
1.330000e-04 2.960904e+18 0.000000e+00 3.111995e-01 3.760349e+16 2.590130e+17 1.130500e-05 2.966165e+17 1.310717e+20
1.340000e-04 2.983167e+18 0.000000e+00 3.128074e-01 3.788622e+16 2.603513e+17 1.139000e-05 2.982375e+17 1.310717e+20
1.350000e-04 3.005429e+18 0.000000e+00 3.144079e-01 3.816895e+16 2.616833e+17 1.147500e-05 2.998523e+17 1.310717e+20
1.360000e-04 3.027692e+18 0.000000e+00 3.160009e-01 3.845169e+16 2.630092e+17 1.156000e-05 3.014609e+17 1.310717e+20
1.370000e-04 3.049954e+18 0.000000e+00 3.175865e-01 3.873442e+16 2.643289e+17 1.164500e-05 3.030633e+17 1.310717e+20
1.380000e-04 3.072217e+18 0.000000e+00 3.191648e-01 3.901715e+16 2.656425e+17 1.173000e-05 3.046597e+17 1.310717e+20
1.390000e-04 3.094479e+18 0.000000e+00 3.207358e-01 3.929988e+16 2.669501e+17 1.181500e-05 3.062499e+17 1.310717e+20
1.400000e-04 3.116741e+18 0.000000e+00 3.222995e-01 3.958262e+16 2.682516e+17 1.190000e-05 3.078342e+17 1.310717e+20
1.410000e-04 3.139004e+18 0.000000e+00 3.238561e-01 3.986535e+16 2.695471e+17 1.198500e-05 3.094125e+17 1.310717e+20
1.420000e-04 3.161266e+18 0.000000e+00 3.254055e-01 4.014808e+16 2.708367e+17 1.207000e-05 3.109848e+17 1.310717e+20
1.430000e-04 3.183529e+18 0.000000e+00 3.269479e-01 4.043082e+16 2.721205e+17 1.215500e-05 3.125513e+17 1.310717e+20
1.440000e-04 3.205791e+18 0.000000e+00 3.284832e-01 4.071355e+16 2.733983e+17 1.224000e-05 3.141119e+17 1.310717e+20
1.450000e-04 3.228054e+18 0.000000e+00 3.300116e-01 4.099628e+16 2.746704e+17 1.232500e-05 3.156666e+17 1.310717e+20
1.460000e-04 3.250316e+18 0.000000e+00 3.315329e-01 4.127901e+16 2.759366e+17 1.241000e-05 3.172156e+17 1.310717e+20
1.470000e-04 3.272579e+18 0.000000e+00 3.330474e-01 4.156175e+16 2.771971e+17 1.249500e-05 3.187589e+17 1.310717e+20
1.480000e-04 3.294841e+18 0.000000e+00 3.345551e-01 4.184448e+16 2.784520e+17 1.258000e-05 3.202964e+17 1.310717e+20
1.490000e-04 3.317103e+18 0.000000e+00 3.360559e-01 4.212721e+16 2.797011e+17 1.266500e-05 3.218283e+17 1.310717e+20
1.500000e-04 3.339366e+18 0.000000e+00 3.375500e-01 4.240995e+16 2.809447e+17 1.275000e-05 3.233546e+17 1.310717e+20
1.510000e-04 3.361628e+18 0.000000e+00 3.390374e-01 4.269268e+16 2.821826e+17 1.283500e-05 3.248753e+17 1.310717e+20
1.520000e-04 3.383891e+18 0.000000e+00 3.405182e-01 4.297541e+16 2.834150e+17 1.292000e-05 3.263905e+17 1.310717e+20
1.530000e-04 3.406153e+18 0.000000e+00 3.419923e-01 4.325815e+16 2.846419e+17 1.300500e-05 3.279001e+17 1.310717e+20
1.540000e-04 3.428416e+18 0.000000e+00 3.434598e-01 4.354088e+16 2.858634e+17 1.309000e-05 3.294043e+17 1.310717e+20
1.550000e-04 3.450678e+18 0.000000e+00 3.449208e-01 4.382361e+16 2.870794e+17 1.317500e-05 3.309030e+17 1.310717e+20
1.560000e-04 3.472941e+18 0.000000e+00 3.463753e-01 4.410634e+16 2.882900e+17 1.326000e-05 3.323963e+17 1.310717e+20
1.570000e-04 3.495203e+18 0.000000e+00 3.478233e-01 4.438908e+16 2.894952e+17 1.334500e-05 3.338843e+17 1.310717e+20
1.580000e-04 3.517465e+18 0.000000e+00 3.492650e-01 4.467181e+16 2.906951e+17 1.343000e-05 3.353669e+17 1.310717e+20
1.590000e-04 3.539728e+18 0.000000e+00 3.507003e-01 4.495454e+16 2.918897e+17 1.351500e-05 3.368443e+17 1.310717e+20
1.600000e-04 3.561990e+18 0.000000e+00 3.521293e-01 4.523728e+16 2.930791e+17 1.360000e-05 3.383163e+17 1.310717e+20
1.610000e-04 3.584253e+18 0.000000e+00 3.535520e-01 4.552001e+16 2.942632e+17 1.368500e-05 3.397832e+17 1.310717e+20
1.620000e-04 3.606515e+18 0.000000e+00 3.549685e-01 4.580274e+16 2.954421e+17 1.377000e-05 3.412449e+17 1.310717e+20
1.630000e-04 3.628778e+18 0.000000e+00 3.563788e-01 4.608548e+16 2.966159e+17 1.385500e-05 3.427014e+17 1.310717e+20
1.640000e-04 3.651040e+18 0.000000e+00 3.577829e-01 4.636821e+16 2.977846e+17 1.394000e-05 3.441528e+17 1.310717e+20
1.650000e-04 3.673302e+18 0.000000e+00 3.591809e-01 4.665094e+16 2.989481e+17 1.402500e-05 3.455991e+17 1.310717e+20
1.660000e-04 3.695565e+18 0.000000e+00 3.605728e-01 4.693367e+16 3.001067e+17 1.411000e-05 3.470403e+17 1.310717e+20
1.670000e-04 3.717827e+18 0.000000e+00 3.619587e-01 4.721641e+16 3.012602e+17 1.419500e-05 3.484766e+17 1.310717e+20
1.680000e-04 3.740090e+18 0.000000e+00 3.633387e-01 4.749914e+16 3.024087e+17 1.428000e-05 3.499078e+17 1.310717e+20
1.690000e-04 3.762352e+18 0.000000e+00 3.647126e-01 4.778187e+16 3.035522e+17 1.436500e-05 3.513341e+17 1.310717e+20
1.700000e-04 3.784615e+18 0.000000e+00 3.660806e-01 4.806461e+16 3.046908e+17 1.445000e-05 3.527554e+17 1.310717e+20
1.710000e-04 3.806877e+18 0.000000e+00 3.674428e-01 4.834734e+16 3.058246e+17 1.453500e-05 3.541719e+17 1.310717e+20
1.720000e-04 3.829140e+18 0.000000e+00 3.687991e-01 4.863007e+16 3.069534e+17 1.462000e-05 3.555835e+17 1.310717e+20
1.730000e-04 3.851402e+18 0.000000e+00 3.701496e-01 4.891281e+16 3.080775e+17 1.470500e-05 3.569903e+17 1.310717e+20
1.740000e-04 3.873664e+18 0.000000e+00 3.714944e-01 4.919554e+16 3.091967e+17 1.479000e-05 3.583923e+17 1.310717e+20
1.750000e-04 3.895927e+18 0.000000e+00 3.728334e-01 4.947827e+16 3.103112e+17 1.487500e-05 3.597895e+17 1.310717e+20
1.760000e-04 3.918189e+18 0.000000e+00 3.741667e-01 4.976100e+16 3.114209e+17 1.496000e-05 3.611819e+17 1.310717e+20
1.770000e-04 3.940452e+18 0.000000e+00 3.754944e-01 5.004374e+16 3.125259e+17 1.504500e-05 3.625697e+17 1.310717e+20
1.780000e-04 3.962714e+18 0.000000e+00 3.768164e-01 5.032647e+16 3.136263e+17 1.513000e-05 3.639528e+17 1.310717e+20
1.790000e-04 3.984977e+18 0.000000e+00 3.781329e-01 5.060920e+16 3.147220e+17 1.521500e-05 3.653312e+17 1.310717e+20
1.800000e-04 4.007239e+18 0.000000e+00 3.794438e-01 5.089194e+16 3.158131e+17 1.530000e-05 3.667050e+17 1.310717e+20
1.810000e-04 4.029502e+18 0.000000e+00 3.807492e-01 5.117467e+16 3.168996e+17 1.538500e-05 3.680742e+17 1.310717e+20
1.820000e-04 4.051764e+18 0.000000e+00 3.820491e-01 5.145740e+16 3.179815e+17 1.547000e-05 3.694389e+17 1.310717e+20
1.830000e-04 4.074026e+18 0.000000e+00 3.833436e-01 5.174014e+16 3.190589e+17 1.555500e-05 3.707990e+17 1.310717e+20
1.840000e-04 4.096289e+18 0.000000e+00 3.846326e-01 5.202287e+16 3.201318e+17 1.564000e-05 3.721546e+17 1.310717e+20
1.850000e-04 4.118551e+18 0.000000e+00 3.859163e-01 5.230560e+16 3.212002e+17 1.572500e-05 3.735058e+17 1.310717e+20
1.860000e-04 4.140814e+18 0.000000e+00 3.871946e-01 5.258833e+16 3.222641e+17 1.581000e-05 3.748525e+17 1.310717e+20
1.870000e-04 4.163076e+18 0.000000e+00 3.884677e-01 5.287107e+16 3.233237e+17 1.589500e-05 3.761947e+17 1.310717e+20
1.880000e-04 4.185339e+18 0.000000e+00 3.897354e-01 5.315380e+16 3.243788e+17 1.598000e-05 3.775326e+17 1.310717e+20
1.890000e-04 4.207601e+18 0.000000e+00 3.909979e-01 5.343653e+16 3.254296e+17 1.606500e-05 3.788661e+17 1.310717e+20
1.900000e-04 4.229863e+18 0.000000e+00 3.922552e-01 5.371927e+16 3.264761e+17 1.615000e-05 3.801953e+17 1.310717e+20
1.910000e-04 4.252126e+18 0.000000e+00 3.935073e-01 5.400200e+16 3.275182e+17 1.623500e-05 3.815202e+17 1.310717e+20
1.920000e-04 4.274388e+18 0.000000e+00 3.947542e-01 5.428473e+16 3.285560e+17 1.632000e-05 3.828408e+17 1.310717e+20
